strategy,total_return,mean_daily_return,volatility,sharpe,max_drawdown,cvar_5pct,worst_day,n_days,gate_threshold,days_traded,days_skipped,pct_traded,tail_events_avoided,tail_events_total
Short Straddle B&H,3221.1029146563383,0.0029086325903692396,0.3546164935279038,2.0669524011165956,-0.8334266846115366,-0.03287092396538775,-0.179693051031788,3045,,,,,,
gate @ 5%,0.28085651925773325,0.0006690529805845461,0.2816806735979391,0.5985549130997933,-0.45787099311534124,-0.030006009231590712,-0.11705017602904855,487,0.05,487.0,2558.0,0.1599343185550082,181.0,199.0
gate @ 10%,434.636604405006,0.0024985251830381703,0.3073853643295494,2.048335474588801,-0.6478320395852162,-0.03046113911010326,-0.12305831362165032,2635,0.1,2635.0,410.0,0.8653530377668309,80.0,199.0
gate @ 15%,861.55867887755,0.0025372872463719377,0.3266667874836864,1.9573351518561084,-0.7345300756561605,-0.03273144257886473,-0.12305831362165032,2913,0.15,2913.0,132.0,0.9566502463054187,32.0,199.0
gate @ 20%,1954.8772565413537,0.0027623358933857524,0.3296590899368221,2.111601549548099,-0.7190113901599536,-0.032567896205409126,-0.12305831362165032,2982,0.2,2982.0,63.0,0.9793103448275862,21.0,199.0
gate @ 30%,3229.72752183556,0.0029104651095295036,0.35467112245072646,2.067936071404656,-0.8334266846115366,-0.03287514910795198,-0.179693051031788,3044,0.3,3044.0,1.0,0.999671592775041,0.0,199.0
gate @ 50%,3221.1029146563383,0.0029086325903692396,0.3546164935279038,2.0669524011165956,-0.8334266846115366,-0.03287092396538775,-0.179693051031788,3045,0.5,3045.0,0.0,1.0,0.0,199.0
