strategy,total_return,mean_daily_return,volatility,sharpe,max_drawdown,cvar_5pct,worst_day,n_days,gate_threshold,gating_mode,days_traded,days_skipped,pct_traded,tail_events_avoided,tail_events_total
Short Straddle B&H,3230.181957467244,0.0029105111965645907,0.35467093824487256,2.067969891087856,-0.8334268846921484,-0.032875292768971984,-0.1796931971792135,3044,,,,,,,
Soft Gate @ 20%,1727.2879553373346,0.002639961372269635,0.3066081504553368,2.1697735850269155,-0.7489695945085535,-0.029804497477174514,-0.11654362544868065,3044,0.2,soft,3043.0,1.0,0.9996714848883048,0.0,815.0
