strategy,total_return,mean_daily_return,volatility,sharpe,max_drawdown,cvar_5pct,worst_day,n_days,gate_threshold,days_traded,days_skipped,pct_traded,tail_events_avoided,tail_events_total
Short Straddle B&H,3230.181957467244,0.0029105111965645907,0.35467093824487256,2.067969891087856,-0.8334268846921484,-0.032875292768971984,-0.1796931971792135,3044.0,,,,,,
gate @ 5%,,,,,,,,,0.05,0.0,3044.0,0.0,815.0,815.0
gate @ 10%,0.0036929015178741587,0.0036929015178741587,,0.0,0.0,0.0036929015178741587,0.0036929015178741587,1.0,0.1,1.0,3043.0,0.000328515111695138,815.0,815.0
gate @ 15%,-0.014842639382898204,-0.0007191594711001836,0.12229533269150239,-1.4818896414829315,-0.04871172482190823,-0.013894864125209171,-0.017196048718834733,20.0,0.15,20.0,3024.0,0.006570302233902759,815.0,815.0
gate @ 20%,0.02932341503157354,0.00026822976774523835,0.18866314799998207,0.35827824452397294,-0.22054314549729812,-0.020656087629753794,-0.0357077070399221,146.0,0.2,146.0,2898.0,0.047963206307490146,798.0,815.0
gate @ 30%,30.427407277441887,0.002131823293503533,0.27688271999824104,1.9402419550281182,-0.6078300256805587,-0.02747695662475329,-0.1230583267904165,1745.0,0.3,1745.0,1299.0,0.5732588699080158,487.0,815.0
gate @ 50%,1375.6815547956442,0.0027186356979448365,0.33827903352617733,2.0252398995608565,-0.7963116413559452,-0.03220422969322352,-0.1796931971792135,2908.0,0.5,2908.0,136.0,0.9553219448094612,67.0,815.0
