fold,train_size,val_size,test_size,train_start,train_end,test_start,test_end,pos_rate_train,pos_rate_test,mean_pred
0,605,151,63,2011-01-03,2013-06-05,2014-01-22,2014-04-22,0.026446280991735537,0.0,0.027149381669393093
1,656,163,63,2011-01-03,2013-08-21,2014-04-23,2014-07-22,0.024390243902439025,0.0,0.024169460661273852
2,706,176,63,2011-01-03,2013-11-04,2014-07-23,2014-10-21,0.0226628895184136,0.0,0.02358823859613475
3,756,189,63,2011-01-03,2014-01-21,2014-10-22,2015-01-23,0.021164021164021163,0.0,0.023727243631458714
4,807,201,63,2011-01-03,2014-04-03,2015-01-26,2015-04-24,0.01982651796778191,0.0,0.019974771093727504
5,857,214,63,2011-01-03,2014-06-16,2015-04-27,2015-07-24,0.01866977829638273,0.0,0.018677303559259235
6,908,226,63,2011-01-03,2014-08-27,2015-07-27,2015-10-26,0.01762114537444934,0.047619047619047616,0.021453608474562656
7,958,239,63,2011-01-03,2014-11-07,2015-10-27,2016-02-01,0.016701461377870562,0.0,0.05468088340943441
8,1008,252,63,2011-01-03,2015-01-23,2016-02-02,2016-05-02,0.015873015873015872,0.0,0.03791632543185562
9,1059,264,63,2011-01-03,2015-04-08,2016-05-03,2016-08-01,0.015108593012275733,0.0,0.018662147252486005
10,1109,277,63,2011-01-03,2015-06-18,2016-08-02,2016-11-01,0.014427412082957619,0.0,0.009664603636180819
11,1160,289,63,2011-01-03,2015-09-01,2016-11-02,2017-02-03,0.016379310344827588,0.0,0.016234599076980553
12,1210,302,63,2011-01-03,2015-11-13,2017-02-06,2017-05-05,0.015702479338842976,0.0,0.015568042835174914
13,1260,315,63,2011-01-03,2016-02-01,2017-05-08,2017-08-04,0.01507936507936508,0.0,0.014944638091940604
14,1311,327,63,2011-01-03,2016-04-14,2017-08-07,2017-11-07,0.014492753623188406,0.0,0.014369561828110302
15,1361,340,63,2011-01-03,2016-06-24,2017-11-08,2018-02-09,0.013960323291697281,0.031746031746031744,0.014006221453556726
16,1412,352,63,2011-01-03,2016-09-07,2018-02-12,2018-05-16,0.013456090651558074,0.0,0.016060637086227316
17,1462,365,63,2011-01-03,2016-11-21,2018-05-17,2018-08-16,0.012995896032831737,0.0,0.012588230336430481
18,1512,378,63,2011-01-03,2017-02-03,2018-08-17,2018-11-19,0.012566137566137565,0.0,0.018795665775392954
19,1563,390,63,2011-01-03,2017-04-19,2018-11-20,2019-02-26,0.01215611004478567,0.07936507936507936,0.023055922663024843
20,1613,403,63,2011-01-03,2017-06-29,2019-02-27,2019-05-30,0.011779293242405457,0.0,0.014599721947948573
21,1664,415,63,2011-01-03,2017-09-13,2019-05-31,2019-08-29,0.01141826923076923,0.0,0.014199088128691018
22,1714,428,63,2011-01-03,2017-11-27,2019-08-30,2019-12-02,0.011085180863477246,0.0,0.012563353686158006
23,1764,441,63,2011-01-03,2018-02-09,2019-12-03,2020-03-04,0.011904761904761904,0.09523809523809523,0.012083409123222812
24,1815,453,63,2011-01-03,2018-04-27,2020-03-05,2020-06-03,0.011570247933884297,0.23809523809523808,0.07561430645800835
25,1865,466,63,2011-01-03,2018-07-12,2020-06-04,2020-09-02,0.011260053619302948,0.015873015873015872,0.011249575093709085
26,1916,478,63,2011-01-03,2018-09-24,2020-09-03,2020-12-04,0.010960334029227558,0.047619047619047616,0.017552378753528573
27,1966,491,63,2011-01-03,2018-12-10,2020-12-07,2021-03-11,0.010681586978636826,0.0,0.010574454504010795
28,2016,504,63,2011-01-03,2019-02-26,2021-03-12,2021-06-16,0.012896825396825396,0.0,0.010785678030365755
29,2067,516,63,2011-01-03,2019-05-13,2021-06-17,2021-09-20,0.012578616352201259,0.0,0.00618956877543987
30,2117,529,63,2011-01-03,2019-07-25,2021-09-21,2021-12-23,0.01228153046764289,0.0,0.010543606651287911
31,2168,541,63,2011-01-03,2019-10-07,2021-12-27,2022-03-31,0.011992619926199263,0.031746031746031744,0.011482278643668208
32,2218,554,63,2011-01-03,2019-12-19,2022-04-01,2022-07-06,0.011722272317403066,0.14285714285714285,0.06854117618601907
33,2268,567,63,2011-01-03,2020-03-04,2022-07-07,2022-10-06,0.014109347442680775,0.015873015873015872,0.12942328765932254
34,2319,579,63,2011-01-03,2020-05-15,2022-10-07,2023-01-10,0.02026735661923243,0.015873015873015872,0.035042360466325057
35,2369,592,63,2011-01-03,2020-07-29,2023-01-11,2023-04-18,0.019839594765723934,0.0,0.04825611958636515
36,2420,604,63,2011-01-03,2020-10-09,2023-04-20,2023-07-27,0.019834710743801654,0.0,0.03873379770980977
37,2470,617,63,2011-01-03,2020-12-23,2023-07-28,2023-10-27,0.020647773279352227,0.0,0.05125778513332197
38,2520,630,63,2011-01-03,2021-03-11,2023-10-30,2024-02-07,0.02023809523809524,0.0,0.026601551598037374
39,2571,642,63,2011-01-03,2021-05-28,2024-02-08,2024-05-09,0.019836639439906652,0.0,0.022582485485112005
40,2621,655,63,2011-01-03,2021-08-12,2024-05-10,2024-08-20,0.019458222052651658,0.0,0.03898691172671034
41,2672,667,63,2011-01-03,2021-10-28,2024-08-21,2024-11-22,0.01908682634730539,0.0,0.06294042745206131
42,2722,680,63,2011-01-03,2022-01-12,2024-11-25,2025-02-27,0.018736223365172666,0.0,0.023346437123523623
43,2772,693,63,2011-01-03,2022-03-31,2025-02-28,2025-05-29,0.01911976911976912,0.09523809523809523,0.025824056308052883
44,2823,705,63,2011-01-03,2022-06-16,2025-05-30,2025-08-28,0.021608218207580587,0.0,0.021548973516313883
