strategy,total_return,mean_daily_return,volatility,sharpe,max_drawdown,cvar_5pct,worst_day,n_days,gate_threshold,gating_mode,days_traded,days_skipped,pct_traded,tail_events_avoided,tail_events_total
Short Straddle B&H,3221.1029146563383,0.0029086325903692396,0.3546164935279038,2.0669524011165956,-0.8334266846115366,-0.03287092396538775,-0.179693051031788,3045,,,,,,,
Hard Gate @ 15%,1159.2077034710405,0.002548844392370774,0.3369587841434919,1.9061939237171266,-0.8334266846115366,-0.03178098392115414,-0.179693051031788,3045,0.15,hard,2940.0,105.0,0.9655172413793104,8.0,54.0
