strategy,total_return,mean_daily_return,volatility,sharpe,max_drawdown,cvar_5pct,worst_day,n_days,gate_threshold,days_traded,days_skipped,pct_traded,tail_events_avoided,tail_events_total
Short Straddle B&H,3230.181957467244,0.0029105111965645907,0.35467093824487256,2.067969891087856,-0.8334268846921484,-0.032875292768971984,-0.1796931971792135,3044,,,,,,
gate @ 5%,911.2470679844405,0.0026389015336287197,0.32852296145506654,2.0242213315290374,-0.7262459282866816,-0.03163602158678124,-0.1796931971792135,2818,0.05,2818.0,226.0,0.9257555847568988,16.0,54.0
gate @ 10%,2106.3399821683474,0.0028496650209794776,0.3327636604396043,2.1580348777812666,-0.7262459282866816,-0.031177690379478946,-0.1796931971792135,2917,0.1,2917.0,127.0,0.9582785808147175,13.0,54.0
gate @ 15%,3052.650213272579,0.002942107271740418,0.33729037790375027,2.1981386990237706,-0.7269558042699932,-0.03212156790529164,-0.1796931971792135,2961,0.15,2961.0,83.0,0.9727332457293035,10.0,54.0
gate @ 20%,2552.3638960367516,0.0028568078669328452,0.3425444411038489,2.1016706041036612,-0.7545560370092855,-0.032553178600406095,-0.1796931971792135,2997,0.2,2997.0,47.0,0.9845597897503285,6.0,54.0
gate @ 30%,2818.4010905959194,0.002878104263252183,0.35303696866994144,2.0544088543249,-0.8334268846921485,-0.03278463037978848,-0.1796931971792135,3027,0.3,3027.0,17.0,0.9944152431011827,1.0,54.0
gate @ 50%,3230.181957467244,0.0029105111965645907,0.35467093824487256,2.067969891087856,-0.8334268846921484,-0.032875292768971984,-0.1796931971792135,3044,0.5,3044.0,0.0,1.0,0.0,54.0
