strategy,total_return,mean_daily_return,volatility,sharpe,max_drawdown,cvar_5pct,worst_day,n_days,gate_threshold,days_traded,days_skipped,pct_traded,tail_events_avoided,tail_events_total
Short Straddle B&H,3221.1029146563383,0.0029086325903692396,0.3546164935279038,2.0669524011165956,-0.8334266846115366,-0.03287092396538775,-0.179693051031788,3045,,,,,,
gate @ 5%,2147.607213192731,0.0028350036456375443,0.3510717918069067,2.0349710098429115,-0.8334266846115366,-0.03266236595107301,-0.179693051031788,2969,0.05,2969.0,76.0,0.9750410509031199,2.0,27.0
gate @ 10%,3154.684165056408,0.002913192024336431,0.3508738747443355,2.092274298471783,-0.8334266846115366,-0.03254122306652932,-0.179693051031788,3026,0.1,3026.0,19.0,0.99376026272578,2.0,27.0
gate @ 15%,2559.4959246980475,0.002842719849341286,0.35237740600464534,2.0329493032948895,-0.8334266846115366,-0.032733971963682496,-0.179693051031788,3030,0.15,3030.0,15.0,0.9950738916256158,1.0,27.0
gate @ 20%,2851.66906101908,0.0028692699223890387,0.3538852270648273,2.043193569958158,-0.8334266846115366,-0.0328793742505162,-0.179693051031788,3043,0.2,3043.0,2.0,0.9993431855500821,0.0,27.0
gate @ 30%,3221.1029146563383,0.0029086325903692396,0.3546164935279038,2.0669524011165956,-0.8334266846115366,-0.03287092396538775,-0.179693051031788,3045,0.3,3045.0,0.0,1.0,0.0,27.0
gate @ 50%,3221.1029146563383,0.0029086325903692396,0.3546164935279038,2.0669524011165956,-0.8334266846115366,-0.03287092396538775,-0.179693051031788,3045,0.5,3045.0,0.0,1.0,0.0,27.0
