threshold,-0.08
positive_rate,0.007997867235403893
n_samples,3751.0
raw_positive_rate,0.009015025041736227
raw_brier_score,0.009026202098522895
raw_log_loss,0.056571673228909485
raw_roc_auc,0.3975366876310274
raw_avg_precision,0.020551537981817948
raw_mean_predicted_prob,0.008138197421997123
raw_precision_at_recall_0.5,0.00816326530612245
raw_precision_at_recall_0.7,0.01053159478435306
raw_precision_at_recall_0.9,0.008744316194473592
cal_positive_rate,0.01602136181575434
cal_brier_score,0.015948665971020327
cal_log_loss,0.17603931618076124
cal_roc_auc,0.5727046585255541
cal_avg_precision,0.018788860109202127
cal_mean_predicted_prob,0.0020341463798489666
cal_precision_at_recall_0.5,0.019342359767891684
cal_precision_at_recall_0.7,0.019342359767891684
cal_precision_at_recall_0.9,0.01602136181575434
