fold,train_size,val_size,test_size,train_start,train_end,test_start,test_end,pos_rate_train,pos_rate_test,mean_pred
0,605,151,63,2011-01-03,2013-06-05,2014-01-22,2014-04-22,0.0049586776859504135,0.0,0.0051773483106729145
1,656,163,63,2011-01-03,2013-08-21,2014-04-23,2014-07-22,0.004573170731707317,0.0,0.004540693792168541
2,706,176,63,2011-01-03,2013-11-04,2014-07-23,2014-10-21,0.00424929178470255,0.0,0.0045159806526368805
3,756,189,63,2011-01-03,2014-01-21,2014-10-22,2015-01-23,0.003968253968253968,0.0,0.005227478802281196
4,807,201,63,2011-01-03,2014-04-03,2015-01-26,2015-04-24,0.0037174721189591076,0.0,0.0036909943568731694
5,857,214,63,2011-01-03,2014-06-16,2015-04-27,2015-07-24,0.003500583430571762,0.0,0.003475629120247558
6,908,226,63,2011-01-03,2014-08-27,2015-07-27,2015-10-26,0.003303964757709251,0.031746031746031744,0.0053377879741823295
7,958,239,63,2011-01-03,2014-11-07,2015-10-27,2016-02-01,0.003131524008350731,0.0,0.006687663850355998
8,1008,252,63,2011-01-03,2015-01-23,2016-02-02,2016-05-02,0.002976190476190476,0.0,0.003920759438574689
9,1059,264,63,2011-01-03,2015-04-08,2016-05-03,2016-08-01,0.0028328611898017,0.0,0.003339188788498018
10,1109,277,63,2011-01-03,2015-06-18,2016-08-02,2016-11-01,0.002705139765554554,0.0,0.002685817004860422
11,1160,289,63,2011-01-03,2015-09-01,2016-11-02,2017-02-03,0.004310344827586207,0.0,0.004279205917189314
12,1210,302,63,2011-01-03,2015-11-13,2017-02-06,2017-05-05,0.004132231404958678,0.0,0.0054483837379620675
13,1260,315,63,2011-01-03,2016-02-01,2017-05-08,2017-08-04,0.003968253968253968,0.0,0.00393806599019108
14,1311,327,63,2011-01-03,2016-04-14,2017-08-07,2017-11-07,0.0038138825324180014,0.0,0.003787832048534335
15,1361,340,63,2011-01-03,2016-06-24,2017-11-08,2018-02-09,0.0036737692872887582,0.015873015873015872,0.0036470221677485895
16,1412,352,63,2011-01-03,2016-09-07,2018-02-12,2018-05-16,0.0035410764872521247,0.0,0.004145550113886407
17,1462,365,63,2011-01-03,2016-11-21,2018-05-17,2018-08-16,0.003419972640218878,0.0,0.0037713012099704663
18,1512,378,63,2011-01-03,2017-02-03,2018-08-17,2018-11-19,0.0033068783068783067,0.0,0.003424969616899419
19,1563,390,63,2011-01-03,2017-04-19,2018-11-20,2019-02-26,0.003198976327575176,0.0,0.004587020396686736
20,1613,403,63,2011-01-03,2017-06-29,2019-02-27,2019-05-30,0.0030998140111593306,0.0,0.006455666993766183
21,1664,415,63,2011-01-03,2017-09-13,2019-05-31,2019-08-29,0.0030048076923076925,0.0,0.007891608323591226
22,1714,428,63,2011-01-03,2017-11-27,2019-08-30,2019-12-02,0.0029171528588098016,0.0,0.007256387186701163
23,1764,441,63,2011-01-03,2018-02-09,2019-12-03,2020-03-04,0.003401360544217687,0.06349206349206349,0.0038300999564392806
24,1815,453,63,2011-01-03,2018-04-27,2020-03-05,2020-06-03,0.003305785123966942,0.19047619047619047,0.009722977804187447
25,1865,466,63,2011-01-03,2018-07-12,2020-06-04,2020-09-02,0.0032171581769436996,0.0,0.0033034821789549567
26,1916,478,63,2011-01-03,2018-09-24,2020-09-03,2020-12-04,0.003131524008350731,0.0,0.00995631302890995
27,1966,491,63,2011-01-03,2018-12-10,2020-12-07,2021-03-11,0.003051881993896236,0.0,0.003325223315961978
28,2016,504,63,2011-01-03,2019-02-26,2021-03-12,2021-06-16,0.002976190476190476,0.0,0.0035119808423203585
29,2067,516,63,2011-01-03,2019-05-13,2021-06-17,2021-09-20,0.002902757619738752,0.0,0.002823613836135028
30,2117,529,63,2011-01-03,2019-07-25,2021-09-21,2021-12-23,0.002834199338686821,0.0,0.0029516177151654435
31,2168,541,63,2011-01-03,2019-10-07,2021-12-27,2022-03-31,0.0027675276752767526,0.0,0.002746929475021159
32,2218,554,63,2011-01-03,2019-12-19,2022-04-01,2022-07-06,0.002705139765554554,0.06349206349206349,0.004126543029304987
33,2268,567,63,2011-01-03,2020-03-04,2022-07-07,2022-10-06,0.004409171075837742,0.0,0.008056392160463789
34,2319,579,63,2011-01-03,2020-05-15,2022-10-07,2023-01-10,0.009486847779215178,0.0,0.01418288985273218
35,2369,592,63,2011-01-03,2020-07-29,2023-01-11,2023-04-18,0.009286618826509076,0.0,0.016860663787012554
36,2420,604,63,2011-01-03,2020-10-09,2023-04-20,2023-07-27,0.00909090909090909,0.0,0.013440372797001311
37,2470,617,63,2011-01-03,2020-12-23,2023-07-28,2023-10-27,0.008906882591093117,0.0,0.014692917899957973
