fold,train_size,val_size,test_size,train_start,train_end,test_start,test_end,pos_rate_train,pos_rate_test,mean_pred
38,2520,630,63,2011-01-03,2021-03-11,2023-10-30,2024-02-07,0.00873015873015873,0.0,0.010826305168402219
39,2571,642,63,2011-01-03,2021-05-28,2024-02-08,2024-05-09,0.008556981719175419,0.0,0.009530807371587992
40,2621,655,63,2011-01-03,2021-08-12,2024-05-10,2024-08-20,0.008393742846241892,0.0,0.01060638011468304
41,2672,667,63,2011-01-03,2021-10-28,2024-08-21,2024-11-22,0.008233532934131737,0.0,0.022381739828568656
42,2722,680,63,2011-01-03,2022-01-12,2024-11-25,2025-02-27,0.008082292432035268,0.0,0.021063141959375982
43,2772,693,63,2011-01-03,2022-03-31,2025-02-28,2025-05-29,0.007936507936507936,0.06349206349206349,0.06085402840218495
44,2823,705,63,2011-01-03,2022-06-16,2025-05-30,2025-08-28,0.009210060219624512,0.0,0.011441952985551458
45,2873,718,63,2011-01-03,2022-08-30,2025-08-29,2025-12-01,0.00904977375565611,0.0,0.021158784490232722
46,2924,730,63,2011-01-03,2022-11-15,2025-12-02,2026-03-04,0.008891928864569083,0.0,0.01729096463250332
47,2974,743,63,2011-01-03,2023-01-30,2026-03-05,2026-06-03,0.008742434431741762,0.0,0.027692773935917955
48,3024,756,24,2011-01-03,2023-04-18,2026-06-04,2026-07-09,0.008597883597883597,0.0,0.02152292839188333
