date,rvol_5d,rvol_10d,rvol_20d,vix,vvix,skew,iv_rv_spread,vix_term_slope,vix_term_inverted,vix9d_vix_ratio,credit_spread,dxy_mom_5d,dxy_mom_20d,spy_ret_1d,spy_ret_5d,spy_ret_10d,spy_ret_20d,dist_from_ma,volume_ratio,max_drawdown_5d,consec_down_days,max_move_20d,days_to_fomc,earnings_season,days_to_opex
2022-01-03,-0.0007456960363565261,-0.0005312119901872961,0.002314489196518297,-0.06273115054112856,0.0856877866476372,-0.012279771114665735,0.0012616493869080981,-0.212113665102284,0.0,-0.1456058103094563,-0.023467541793929677,0.03919640951487956,-0.0001723913627779013,-0.0013237765200366204,0.0026742393083171996,-0.0005621477905914806,-0.04419465617040941,-0.021637106431474987,-0.003864783831722125,0.00036745725299405123,0.0,-0.005595373831678494,0.0022624781166451008,0.0,0.047079927473474725
2022-01-04,-0.000715425736520239,-0.0005312119901872961,-0.0003130943500887947,-0.055349642443960706,0.09021165600857188,-0.012840258197157797,0.0012616493869080981,-0.23690325717509073,0.0,-0.14404503908171948,0.009966218865840558,0.03919640951487956,0.0010800027226618234,-0.003449883134207219,0.00036967815970598484,-0.0005389845903536251,-0.054631491386482066,-0.02099273653831692,-0.0039688413346253455,-0.00018820981250914818,0.0,-0.0056498496732736775,0.003560491788957985,0.0,0.0033195705156422394
2022-01-05,-0.004171637855438914,-0.016495430929928227,0.0049636731639601675,0.3281783518736807,0.09772900478728143,-0.012166873805634274,0.0007031461723704029,-0.26739528062906,0.0,-0.1556887848450973,0.027486147721819624,0.017682110946949405,-0.00036954449722050107,-0.0003643870176528414,0.013031197617947068,0.0035726193958559166,0.060180979709136655,-0.00607325437926995,-0.022708308374233887,-0.0005273911389533369,0.0,-0.0037017297067591646,-0.019013745801399227,0.0,0.005503366334435324
2022-01-06,-0.0038430209184786104,-0.016524058312524542,0.0045903899172520185,0.32366432332904127,0.12472948491348161,-0.012816335386217586,0.0007031461723704029,-0.24452919604419268,0.0,-0.1361286378204781,0.02368794059730485,0.016972523138463935,0.00034619383178590254,-0.0030611898753917324,0.013031197617947068,0.006067727490212217,0.057265199687532554,0.04452695136497194,-0.026275308379467233,-0.0001977447159720303,0.0,-0.0030226866057688137,-0.045052021144138775,0.0,0.003706227448480096
2022-01-07,-0.0038783855352377754,-0.00011480779987871197,0.0021058514337378847,-0.045126511661350135,0.11946817254722338,-0.01632837848497174,0.0012616493869080981,-0.2219323438738028,0.0,-0.13227971365101712,0.018150118960234014,0.04093176363470525,0.0024517137504433233,-0.0008879042428147468,0.0016018288226923418,0.004237074908309421,0.05159061431859826,0.04630419605059309,-0.020708644426710065,-0.0001977447159720303,0.0,-0.003349182945621318,-0.03643527536401089,0.0,0.0044343831146317165
2022-01-10,0.006132828082235327,0.0036731570772751366,-0.0004301240009412427,-0.07101241892235405,0.16964729042434248,-0.016130293952828407,0.0012616493869080981,-0.09162894374736666,0.0,0.02897502136284642,0.013974923499142975,0.063676248748323,-0.0002804830210345949,-0.004584947576730864,0.0016966850349351753,-0.04465139713894084,0.14844677360686762,0.04476061929843917,-0.03482653555917749,-0.0001977447159720303,0.0,-0.003460181826308092,-0.034141519151891946,0.0,0.0035463432788015153
2022-01-11,-0.014237338983072651,0.00026760826829415644,-0.0018682403170720819,-0.06826955083563525,0.11031357201523471,-0.015111402094166351,0.0012616493869080981,-0.21842639982903772,0.0,-0.10594642602002671,0.020489238074286313,-0.0012830132414328541,0.0018235912513950379,0.0016508060332557735,0.0016018288226923418,0.0036947786041919115,0.07220869350996661,-0.01144493296758475,0.007118853878892214,0.0003860730168977736,0.0,-0.004038926504081304,-0.04189468113730833,0.0,0.0042416380243411825
2022-01-12,0.0003841892075739952,-0.0005709306866870086,0.0009696549389851039,-0.08118852391513465,0.08144841408477173,-0.017106725568670725,0.00061990631686347,-0.20951628758357738,0.0,-0.14478782082966166,0.013662243870314023,-0.017041075460277517,0.0036661557530508074,-0.00012055343838162792,-0.00039350206998895956,0.01034516655323691,-0.05270003160773963,-0.02488073150574053,-0.004926153006548106,0.0003860730168977736,0.0,-0.005628287086046385,-0.01824729905306321,0.0,0.0037329467004248926
2022-01-13,0.006149440238503803,-0.013118509503543561,-0.001173695515456798,0.37283030536212053,0.16063248928227825,-0.00924085451847082,0.00042782083869565625,-0.1295917241871501,0.0,-0.008296905191249088,0.018095345964885087,-0.02627895177222833,0.0006907118758735445,-0.0012344863211053538,0.014205926744262382,-0.045312429676282504,0.15057490060489873,0.04201906768733881,-0.026467955560097976,-0.0001977447159720303,0.0,-0.003515855921378004,-0.0468233714614532,0.0,0.0029875439060022243
2022-01-14,-0.002807314165184261,-0.0012513973543025977,6.378385723083758e-05,-0.1085615951560045,0.11479967392452955,-0.016130293952828407,0.0012616493869080981,-0.2300331741529845,0.0,-0.07394183815857018,0.017052258135415575,0.0008388739763457143,-0.00038292162806824687,-0.004584947576730864,-0.004551245664052579,-0.017708143111938177,0.05504922549063334,0.04630419605059309,-0.03485410596853075,-0.0001977447159720303,0.0,-0.004981507029752963,-0.056059517045455406,0.0,0.0051365418412957385
2022-01-18,-0.00776766189967144,-0.008383482589311046,0.014231133107293278,0.24859728106943724,0.15658002104978075,0.0010940553957376154,0.0018010706516200688,-0.2089066889046137,0.0,0.02971339454273103,0.024568720704303038,0.029662951175048614,6.0991722054894324e-06,0.0023873580736227433,0.014418185270828264,0.048249369106128495,0.04326300082105591,0.009288039982457722,-0.001487245155775433,-0.0001977447159720303,0.0,-0.0038181317968009752,-0.01500742103175748,0.0,0.010572356776310738
2022-01-19,0.004145755780800518,-0.008383482589311046,-0.0009227443185316897,0.3584918382353959,0.20623108122185266,-0.028675795474850142,0.0018010706516200688,0.40686679753807753,0.0,0.05065621183728301,0.03591409739884315,0.03066479321174484,0.0011287856873909935,0.0027853832319018716,0.004357751302582185,0.05545050836268474,0.04308002759275114,0.0071430124440458815,-0.0009448866502435421,-0.0001977447159720303,0.0,-0.0029975769664051448,-0.011559013907989609,0.0,0.015873569906670958
2022-01-20,0.008961180964834715,-0.008383482589311046,0.0002166991013749037,0.4156824037372145,0.18667163809388326,0.005633863932660448,0.0008054289582181014,0.40468835926691865,0.0,0.04196677186227515,0.03581661459649305,-0.02791251998322681,4.1384883106829494e-05,0.00017221691432345302,0.004357751302582185,0.05545050836268474,0.0583351207320439,0.015203230463553069,-0.002283563286688097,-0.0001977447159720303,0.0,-0.0028811786268713078,-0.009854001792803452,0.0,0.017860929651572124
2022-01-21,0.00852112355485165,-0.008383482589311046,-0.004152830796655327,0.43534477030404367,0.18447683108455395,-0.029746700541958954,0.0008054289582181014,0.39214278280084486,0.0,0.04051897096221991,0.03387145116635337,-0.014475802229171953,4.1384883106829494e-05,0.00017221691432345302,0.004357751302582185,0.05545050836268474,0.05846868464613602,0.013911060405036719,-0.002283563286688097,-0.0001977447159720303,0.0,-0.002747614712779194,-0.011559013907989609,0.0,0.017860929651572124
2022-01-24,0.005733593125825701,0.0169795226832277,-0.022465431226271145,0.4750364843067969,0.18004921247304706,-0.028113764352949978,0.0008054289582181014,0.3749543631332577,0.0,0.022682413499379536,0.01611321290351457,-0.007407962341374659,3.431308129904739e-05,-0.00044462883350994105,0.004357751302582185,0.060823853603039546,0.058363277622149747,0.02400171308134267,-0.0033948594890343205,-0.0001977447159720303,0.0,-0.0020024949057614928,-0.01181603965334637,0.0,-0.03504537293098531
2022-01-25,0.006422419378487109,0.013686217196700863,-0.023201979922227414,0.4717681951542467,0.1922040700522014,-0.028096278245966996,0.0018010706516200688,0.3854715496749336,0.0,0.03579066647046934,0.007579542551523644,0.026465743953057994,0.000134344214635232,0.0027853832319018716,0.003410291145579645,0.060823853603039546,0.04925740166062739,0.02400171308134267,-0.005851257205496146,-0.0001977447159720303,0.0,-0.0020024949057614928,-0.010966586586168748,0.0,-0.043388713379511466
2022-01-26,0.005624004812676091,-0.011661925821266477,-0.023201979922227414,0.5132705343933636,0.18715045268634362,-0.025105904941409785,0.0008054289582181014,0.37196028877677517,0.0,0.03515505696491038,0.0020247987067909773,-0.019919509548008217,1.3458507146106969e-05,-0.002317462449201814,0.003410291145579645,0.060823853603039546,0.04912383774653528,0.02400171308134267,-0.0033948594890343205,-0.0001977447159720303,0.0,-0.002136058819853606,-0.00926157447098259,0.0,-0.03457851151415078
2022-01-27,0.0031944076955290807,-0.012365149793809111,-0.027106013566272683,0.5211502388868223,0.17532863036718252,-0.024879678329727928,0.0008054289582181014,0.378604943897787,0.0,0.030488956062941486,0.004884398754944629,-0.057418959817036055,0.004905389500243193,-0.00045771075734844297,0.002245288573603301,0.060823853603039546,0.05309468302462556,0.026623812373693347,-0.0043922407149667025,-0.0001977447159720303,0.0,-0.00403808196518438,-0.0013033487640881519,0.0,-0.028095129314474727
2022-01-28,-0.0028974853099836013,0.017782915663706867,0.03940147828422672,0.4244851900772164,0.16957757465534287,-0.01454110351841232,0.0008054289582181014,0.3914330973024329,0.0,0.03781463438956432,0.03478736861048658,-0.04801184744485784,0.005469801944182075,0.020125094646419834,0.0016519176468486,0.06658420810662433,0.06234195162556019,0.019395456770534572,-0.0013113768172566232,0.0003860730168977736,0.0,-0.009749701769800697,0.0007963806797754596,0.0,0.011923141572063032
2022-01-31,0.002595829483067459,0.014881188941519472,0.036712629592418625,0.4862918535625976,0.17774909442822123,-0.013375853675132643,0.0008054289582181014,0.3548339264697706,0.0,0.029412690089848256,0.029694909317565965,-0.005421619881689388,0.005469801944182075,0.020125094646419834,-0.0022564241947051816,-0.06409652515789034,0.05570611840157763,0.01025951537150011,-0.001754044251720498,0.0003860730168977736,0.0,-0.014858098301216698,0.0006275420753052503,0.0,0.02139960576288152
2022-02-01,-0.007213965189053219,0.019348847159973783,0.020440673967116196,0.2385558947541725,0.1736432093017176,-0.007905619390054037,0.0018010706516200688,-0.07975462672131585,0.0,-0.048092161681751594,0.02822644740367727,0.04723340893293168,-0.001172716331606454,-0.00036748812635189413,-0.010344931552748201,-0.012682493859899339,0.10001087249728288,0.02069751316983161,0.02274886305744886,0.0003860730168977736,0.0,-0.0138461819241681,-0.013062168485453409,0.0,0.014324303638155868
2022-02-03,0.0018066719313764165,0.019348847159973783,0.03529960638356801,0.4952477139412198,0.1944571854083088,-0.015959960608735994,0.0008054289582181014,0.372699288157223,0.0,0.0388146419856965,0.047185649582302244,-0.013418080784880262,0.0012743297004647067,0.001978915834215574,-0.0022564241947051816,0.008234257891004033,0.05703324849688149,0.011527471211938435,-0.010012298495929408,-0.0001977447159720303,0.0,-0.012630746529370353,0.0003604414356969731,0.0,0.009636632362899163
2022-02-08,-0.007664305390702247,0.01935517738708832,0.016503750307948838,0.32781696354085926,0.17522812458277556,0.0006437853476276539,0.0007031461723704029,-0.06824918916358107,0.0,0.021456338259774367,0.027683056558419846,-0.021140448522112512,0.0001350073944868924,0.002386550074697666,0.006011518498837719,0.018770461915662496,0.15555051522198424,0.11025221193674253,0.01755421189336425,-0.00021840869417056035,0.0,-0.008576698467629517,0.07785928745618115,0.0,0.007675647933228564
2022-02-09,-0.006111356635615624,0.01935517738708832,0.016503750307948838,0.28338211661667667,0.14952108036242673,0.0018312453122331996,0.0007031461723704029,-0.09685226287898667,0.0,0.020543862910622962,0.035001152082969784,-0.02172164736175301,0.0001350073944868924,0.01431456982834988,0.016827880008506713,0.007783140590092551,0.1530899526762956,0.11036406006715441,0.017049225278676753,0.000426416974332999,0.0,-0.008576698467629517,0.09992914635253065,0.0,-0.0008683795598599943
2022-02-10,-0.0065308196294930065,0.020830893357970285,0.028807166459641077,0.38889007348670496,0.19653769972900245,0.0041945424546647875,0.0018010706516200688,0.37464473441755863,0.0,0.04053516226133077,0.05004975302317158,0.03133593820475202,0.0012576939096723965,0.0011071275899770866,0.0010707375389771253,0.010784949172836365,0.06180441502995469,0.014469938551048781,0.00020807649069174537,-0.0005273911389533369,0.0,-0.01275511950195036,0.020717493109172057,0.0,0.012000939943043921
2022-02-11,0.001857587406649741,0.01684112791933584,0.029507049507252067,0.4789849759011711,0.18226050309044722,0.0036652160516783042,0.0008054289582181014,0.355578300069502,0.0,0.03094421363483854,0.0190547463944614,-0.012581127552379901,0.0067163400196761395,-0.0015060387276013285,0.0030129050338290313,0.007978776217891632,0.06626384306137109,0.031039166279317153,-0.002283563286688097,-0.0001977447159720303,0.0,-0.013284215864582494,0.026746762501206826,0.0,0.009830823211772114
2022-02-14,0.002776250891323199,0.01237346970088153,0.029507049507252067,0.49723069959713323,0.18107998817696128,0.0030447270975356025,0.0008054289582181014,0.3305980214320126,0.0,0.02085784313798994,0.023530479781384277,-0.02110993423801007,0.006777525670275421,0.00030977753522693543,0.0030129050338290313,-0.06362580022895184,0.0686983250512999,0.024222231707756087,-0.0025292685415173187,-0.0001977447159720303,0.0,-0.013417779778674607,0.028259730026164227,0.0,0.0076582839795153795
2022-02-15,-0.002777716570230916,0.01684112791933584,0.029507049507252067,0.36902939114583266,0.1894889599148017,0.0034310783095334364,0.0018010706516200688,0.3219996798500922,0.0,-0.032745121359364,0.05464439669444738,0.022815491526033276,0.0012576939096723965,0.009730137282855413,0.0030129050338290313,0.00260562208977663,0.078317415644229,0.015047691064755871,-0.007507935198732506,-0.00011358596839983575,0.0,-0.011181237065316155,0.02492810297384894,0.0,0.009562365102854105
2022-02-16,-0.007980112597760181,0.009593269172636453,0.021781629666490467,0.42801836085715717,0.1683006710657446,-0.017223402522370517,0.0018010706516200688,0.2341507150595805,0.0,-0.17390996146506604,0.04760392620670866,0.02396459503852976,0.0019155374186588241,-0.0023945595506742853,0.004333144339909097,-0.030046623287994005,0.06803386178317744,0.03147562828245656,-1.8783493753161474e-05,-0.00011358596839983575,0.0,-0.009755719529134826,0.012819797813517686,0.0,0.004637413304957098
2022-02-17,-0.0028289210203904457,0.01237346970088153,0.03529960638356801,0.4520950221339081,0.18477949390960952,-0.017879930608435138,0.0018010706516200688,0.36027193190243323,0.0,0.034360588589709286,0.018253377114703328,0.03136123048251185,0.001288790799267214,0.010508278392818319,0.004177907605805377,-0.06266238655455844,0.060633623514902334,0.02705987605117033,-0.002242019165933428,-0.00011358596839983575,0.0,-0.011181237065316155,-0.00577078276207095,0.0,0.008276805693827926
2022-02-18,-0.007852929515417153,0.01237346970088153,0.020323660445095888,0.3936869555742966,0.19885032568138683,0.004054435055066852,0.0018010706516200688,0.282742962838976,0.0,-0.112302694237741,0.03538713562195466,0.029180016419092236,0.0012576939096723965,0.0027853832319018716,0.004333144339909097,-0.0566270908415199,0.07421461068410845,0.02281490350310717,0.003925732560269585,-0.0001977447159720303,0.0,-0.010898154844766113,-0.010413117207246107,0.0,0.0081344282896975
2022-02-22,-0.0047022316753067344,0.018604749317895537,0.04098175290145241,0.3744974283479004,0.1954383173876808,0.004433608823609909,0.0018010706516200688,0.4056466583458898,0.0,0.03980013331470308,0.04681750706523798,0.029001725009286862,-5.002981642095014e-05,0.0027853832319018716,0.0029567763679181213,0.058354464445358856,0.06120428366270738,0.01592818531343701,0.003710559257123207,-0.0001977447159720303,0.0,-0.005821142365354206,-0.00577078276207095,0.0,-0.015434735931167488
2022-02-23,0.005199219170511742,0.015311443831368704,0.03585191656383331,0.42989488328073244,0.20041348593201638,0.004114163895711132,0.0018010706516200688,0.42311875588932885,0.0,0.04053478753927037,0.017542943055064254,0.027648067531413918,0.00020936356961474728,0.0027853832319018716,0.002009316210915583,0.06489876878592413,0.04925740166062739,0.022522306200377897,-0.005851257205496146,-0.0001977447159720303,0.0,-0.005821142365354206,-0.005749194429123895,0.0,-0.016657436372067826
